Country,°C/GtCO2e
HND,-0.0004169296611864002
HRV,-0.0004292744425889091
HTI,-0.0002829862676368163
HUN,-0.0004081863378120281
IDN,-0.0002648748598146633
IMN,-0.0002830284664190674
IND,-0.0002841666641500952
IRL,-0.00029056508490185785
IRN,-0.0004228090683071863
IRQ,-0.0004280468057577657
ISL,-0.0003895604806650984
ISR,-0.00036959489474967203
ITA,-0.0004131694943175962
JAM,-0.00029016092952459637
JEY,-0.0002786785412613253
JOR,-0.0003741038171789903
JPN,-0.00030456417607497633
KAZ,-0.0003283930245988421
KEN,-0.0002876612665852449
KGZ,-0.000374760687969575
KHM,-0.00021160422573126864
KNA,-0.00023651320798361087
KOR,-0.00028885596647341787
KWT,-0.00045739513914894213
LAO,-0.00023341174575601298
LBN,-0.0003693309821349973
LBR,-0.0003604054805408995
LBY,-0.0003977282254443924
LCA,-0.00021929048182662024
LIE,-0.00042754075665843146
LKA,-0.0003087888897484674
LSO,-0.0004138954389538721
LTU,-0.00039640092404754994
LUX,-0.0003657987908423182
LVA,-0.0004129734140768845
MAC,-0.0002145633328260282
MAF,-0.0002446237543445555
MAR,-0.0003711669192851604
MCO,-0.0004035508245396692
MDA,-0.0003639030982778202
MDG,-0.00029705163216226524
MDV,-0.00025749592160431885
MEX,-0.00034632910605432487
MHL,-0.00024950479276070225
MKD,-0.00045175888180247985
MLI,-0.0004285760438982264
MLT,-0.00033311338672535807
MMR,-0.0002673738767009255
MNE,-0.000434212105840419
MNG,-0.00034200693365320933
MOZ,-0.0004263168086691679
MRT,-0.00038402502736775506
MSR,-0.00023352931997983503
MTQ,-0.0002224258777367361
MUS,-0.00024859599092529
MWI,-0.00043594579100980017
MYS,-0.0002878409091737038
NAM,-0.00045775467016622383
NCL,-0.00026454738591151895
NER,-0.00035097613837300915
NGA,-0.0002832667748317373
NIC,-0.0004513271456509627
NLD,-0.00032211334388283124
NOR,-0.00042384100405455443
NPL,-0.00027960785071515476
NZL,-0.00026748506194558476
OMN,-0.00041497738235447503
PAK,-0.00038106364702375023
PAN,-0.00028611895924903196
PER,-0.0003987588509871466
PHL,-0.0002611736444492818
PLW,-0.00023654069350425276
PNG,-0.00026950886399063425
POL,-0.0003663306055580694
PRI,-0.00026404348696809
PRK,-0.00030111437308234584
PRT,-0.0003516158602676765
PRY,-0.00041199626027772665
PSE,-0.00032809816795464593
PYF,-0.0002143789712563588
QAT,-0.00042299477720445563
ROU,-0.00041254868055749837
RUS,-0.00034010558080889734
RWA,-0.0003259519276649032
SAU,-0.00044633246158912177
SDN,-0.0003292577068011529
SEN,-0.0003675840314495631
SGP,-0.0002586351786965083
SJM,-0.0008788444820401254
SLB,-0.00022716293486990566
SLE,-0.00033845073911525366
SLV,-0.0004220941683294562
SMR,-0.00044938997668419393
SOM,-0.000302848221999764
SPM,-0.00028181255111105115
SRB,-0.000433669224710479
SUR,-0.00030013057730787215
SVK,-0.000392542951074265
SVN,-0.0004106607712195596
SWE,-0.00041872880948767
SWZ,-0.0004073950665032757
SYR,-0.00040684565226995563
TCA,-0.00026564841798506686
TCD,-0.0003513372352889681
TGO,-0.0003191394637624389
THA,-0.0002262083239949849
TJK,-0.0004016446268467996
TKL,-0.00024538609649598
TKM,-0.0003553249709790842
TLS,-0.0002635337081360839
TON,-0.00021898328586953165
TTO,-0.00021247272706357968
TUN,-0.0003890654030761372
TUR,-0.0004110276984060315
TUV,-0.00023987604273569877
TWN,-0.00027827661060314676
TZA,-0.0003512577257341232
UGA,-0.0003003492345854819
UKR,-0.00036167653864669475
URY,-0.00030191922306883954
USA,-0.00032001015184527016
UZB,-0.0003512309337371612
VAT,-0.0003827180097979842
VCT,-0.00021111593430700985
VEN,-0.00036710942336520624
VGB,-0.0002506078898536923
VIR,-0.00023948981109609015
VNM,-0.00021824555155305865
VUT,-0.0002375817555425652
WLF,-0.00022904942214788793
WSM,-0.00023879239079224022
YEM,-0.0003421407147708731
ZAF,-0.00043084684476562055
ZMB,-0.00045882351667424855
ZWE,-0.0005032480568137489
