Country,Year,index,temp70,temp45,temp26,temp70_smoothed,temp45_smoothed,temp26_smoothed,GtCO2e_cumsum70,abatement70,temp_diff70,GtCO2e_cumsum45,abatement45,temp_diff45,GtCO2e_cumsum26,abatement26,temp_diff26
GGY,2020,720,12.28517419063686,12.396058885978952,12.441007579456699,12.218723800398752,12.300067441397209,12.28542626113365,842.8966489437206,0.0,0.0,786.3811247563308,56.515524187389815,0.08134364099845648,762.063433797282,80.83321514643865,0.0667024607348985
GGY,2030,721,12.024056441695624,12.518722082067441,12.126390358253785,12.38542447520142,12.360925435589373,12.281016684534096,1568.077861557596,0.0,0.0,1350.296984775312,217.78087678228394,-0.02449903961204747,1230.5399546264935,337.5379069311025,-0.10440779066732375
GGY,2040,722,12.410524218010202,12.45899722937384,12.112649304939062,12.563600815305573,12.422573779719663,12.290144060841548,2407.5081903645205,0.0,0.0,1926.7321054271188,480.7760849374017,-0.14102703558591045,1636.1994542882417,771.3087360762788,-0.27345675446402495
GGY,2050,723,12.943687269422766,12.48195970323353,12.397653480812378,12.781039233172724,12.512253762645875,12.371655849512482,3337.039282302806,0.0,0.0,2490.9085976750175,846.1306846277885,-0.26878547052684887,1966.493090080031,1370.546192222775,-0.4093833836602414
GGY,2060,724,13.091324222449122,12.694952670010677,12.522710071910534,13.003165093155932,12.590853589445839,12.428135969774049,4349.314497009131,0.0,0.0,3022.351289627446,1326.9632073816847,-0.41231150371009306,2196.103053490544,2153.2114435185867,-0.5750291233818832
GGY,2070,725,13.011227190936076,12.52757500542537,12.672236802842905,13.219705210507321,12.67648908181303,12.373536935697064,5449.852347440911,0.0,0.0,3506.472122330704,1943.380225110207,-0.5432161286942918,2327.987341173351,3121.86500626756,-0.8461682748102568
GGY,2080,726,13.442277295661718,12.83134821111508,12.139698976458948,13.420282031489407,12.75196742917452,12.25911176093599,6664.386104413549,0.0,0.0,3920.145361753433,2744.240742660116,-0.6683146023148865,2383.706679066941,4280.679425346609,-1.1611702705534164
GGY,2090,727,13.824396034523316,12.802656781231939,12.136330611617499,13.618986546262821,12.856822324766874,12.07277611544784,8023.618968318464,0.0,0.0,4235.851616159866,3787.7673521585975,-0.7621642214959472,2378.9372821313204,5644.681686187143,-1.5462104308149804
GGY,2100,728,13.690776231553842,12.982372962103973,11.873438347710525,13.821354328715561,12.96292020438987,11.888571644414139,9538.860648266145,0.0,0.0,4464.555511897279,5074.305136368866,-0.8584341243256901,2326.220102831605,7212.64054543454,-1.9327826843014222
GHA,2020,729,26.291181529283087,26.385435804589655,26.340974974800037,26.33497583623865,26.35349585651584,26.40063344699827,842.8966489437206,0.0,0.0,786.3811247563308,56.515524187389815,0.01852002027718669,762.063433797282,80.83321514643865,0.06565761075961873
GHA,2030,730,26.519666050633674,26.577495712079045,26.727252383711836,26.619972558072416,26.575543367060902,26.555478366076105,1568.077861557596,0.0,0.0,1350.296984775312,217.78087678228394,-0.044429191011513325,1230.5399546264935,337.5379069311025,-0.06449419199631024
GHA,2040,731,26.926849372303003,26.779283337507778,26.764015607555322,26.905875634374215,26.800025128568535,26.700709476523365,2407.5081903645205,0.0,0.0,1926.7321054271188,480.7760849374017,-0.10585050580568023,1636.1994542882417,771.3087360762788,-0.2051661578508508
GHA,2050,732,27.151357727652584,27.008350575111926,26.832719977653937,27.203917023150588,27.008779880870378,26.7760524090218,3337.039282302806,0.0,0.0,2490.9085976750175,846.1306846277885,-0.19513714228020973,1966.493090080031,1370.546192222775,-0.4278646141287865
GHA,2060,733,27.532641140831938,27.281458079311246,26.788452133819845,27.529667885694447,27.208975765048876,26.807196136238243,4349.314497009131,0.0,0.0,3022.351289627446,1326.9632073816847,-0.32069212064557107,2196.103053490544,2153.2114435185867,-0.7224717494562043
GHA,2070,734,27.707596707189047,27.270479944811566,26.788094440220394,27.87664814413042,27.42469129460125,26.809442270815296,5449.852347440911,0.0,0.0,3506.472122330704,1943.380225110207,-0.4519568495291715,2327.987341173351,3121.86500626756,-1.0672058733151246
GHA,2080,735,28.236442823843316,27.724824700548965,26.921927964311443,28.224124269015945,27.59958010985631,26.785540242691383,6664.386104413549,0.0,0.0,3920.145361753433,2744.240742660116,-0.6245441591596368,2383.706679066941,4280.679425346609,-1.4385840263245626
GHA,2090,736,28.580719429201213,27.813354421640515,26.70497198640352,28.554000071398008,27.74739021079376,26.752744256388944,8023.618968318464,0.0,0.0,4235.851616159866,3787.7673521585975,-0.8066098606042473,2378.9372821313204,5644.681686187143,-1.801255815009064
GHA,2100,737,28.85783161934411,27.813822996392034,26.714853605158712,28.878459713110043,27.88787961253372,26.712573566310898,9538.860648266145,0.0,0.0,4464.555511897279,5074.305136368866,-0.9905801005763237,2326.220102831605,7212.64054543454,-2.1658861467991457
GIB,2020,738,18.7561623775598,18.70690561930341,18.784364781235226,18.656008942265146,18.7183701439608,18.73101607975339,842.8966489437206,0.0,0.0,786.3811247563308,56.515524187389815,0.062361201695654955,762.063433797282,80.83321514643865,0.07500713748824239
GIB,2030,739,18.804861958821636,18.762451850043426,18.852643443920016,18.960452037687766,18.813960152096225,18.863615475872834,1568.077861557596,0.0,0.0,1350.296984775312,217.78087678228394,-0.1464918855915407,1230.5399546264935,337.5379069311025,-0.09683656181493205
GIB,2040,740,19.249928237452675,18.881204686020382,19.05226334080554,19.258614593862752,18.927001362683907,18.987900344360597,2407.5081903645205,0.0,0.0,1926.7321054271188,480.7760849374017,-0.3316132311788458,1636.1994542882417,771.3087360762788,-0.2707142495021557
GIB,2050,741,19.75858120388457,18.911485855667703,18.71966790093318,19.5429150469925,19.136981072623467,19.07368912624924,3337.039282302806,0.0,0.0,2490.9085976750175,846.1306846277885,-0.40593397436903444,1966.493090080031,1370.546192222775,-0.46922592074326275
GIB,2060,742,19.689439392089866,19.537749920469366,19.18661489775689,19.861921547354246,19.393248317709425,19.13271453589423,4349.314497009131,0.0,0.0,3022.351289627446,1326.9632073816847,-0.4686732296448213,2196.103053490544,2153.2114435185867,-0.7292070114600158
GIB,2070,743,20.070974109790967,19.658275858561222,19.11575667769823,20.21074185977249,19.68175435455264,19.128831582269544,5449.852347440911,0.0,0.0,3506.472122330704,1943.380225110207,-0.5289875052198489,2327.987341173351,3121.86500626756,-1.0819102775029457
GIB,2080,744,20.716324916030445,20.00027156020658,19.126323954264347,20.59756373498677,19.863394441571796,19.044146810458994,6664.386104413549,0.0,0.0,3920.145361753433,2744.240742660116,-0.7341692934149755,2383.706679066941,4280.679425346609,-1.5534169245277774
GIB,2090,745,21.121261709707777,20.052119615342903,18.905840386284744,20.960703405994984,19.927216044335108,18.951078063626355,8023.618968318464,0.0,0.0,4235.851616159866,3787.7673521585975,-1.0334873616598763,2378.9372821313204,5644.681686187143,-2.009625342368629
GIB,2100,746,21.16894048055015,19.852105712890648,18.859577433268253,21.3131736442002,19.97950148121319,18.852381801850004,9538.860648266145,0.0,0.0,4464.555511897279,5074.305136368866,-1.3336721629870105,2326.220102831605,7212.64054543454,-2.460791842350197
GIN,2020,747,25.333730446988064,25.36650600753805,25.43386842938252,25.34279405966326,25.37939679127022,25.448903385193052,842.8966489437206,0.0,0.0,786.3811247563308,56.515524187389815,0.036602731606961925,762.063433797282,80.83321514643865,0.10610932552979335
GIN,2030,748,25.681154471044056,25.624412670503144,25.638737937323956,25.735314021148973,25.63227845234982,25.565742833276687,1568.077861557596,0.0,0.0,1350.296984775312,217.78087678228394,-0.10303556879915376,1230.5399546264935,337.5379069311025,-0.1695711878722861
GIN,2040,749,26.182360650241364,25.852721489193044,25.716798270434676,26.125231777780964,25.886904698093367,25.677323126282154,2407.5081903645205,0.0,0.0,1926.7321054271188,480.7760849374017,-0.23832707968759692,1636.1994542882417,771.3087360762788,-0.44790865149881043
GIN,2050,750,26.501182799394606,26.16524516479706,25.75558884967191,26.5206469680231,26.12250785848216,25.739878962920194,3337.039282302806,0.0,0.0,2490.9085976750175,846.1306846277885,-0.3981391095409421,1966.493090080031,1370.546192222775,-0.7807680051029067
GIN,2060,751,26.948958737353575,26.392292244600533,25.73910019681798,26.901774677959512,26.34215634386357,25.783359052865016,4349.314497009131,0.0,0.0,3022.351289627446,1326.9632073816847,-0.5596183340959406,2196.103053490544,2153.2114435185867,-1.1184156250944959
GIN,2070,752,27.186453216902425,26.455672115340185,25.8414431373029,27.295397580440227,26.551627818548724,25.799480171628026,5449.852347440911,0.0,0.0,3506.472122330704,1943.380225110207,-0.7437697618915031,2327.987341173351,3121.86500626756,-1.4959174088122005
GIN,2080,753,27.733447426615093,26.86091875238404,25.960049083896006,27.687304600972368,26.705183563684827,25.780991863800466,6664.386104413549,0.0,0.0,3920.145361753433,2744.240742660116,-0.9821210372875413,2383.706679066941,4280.679425346609,-1.906312737171902
GIN,2090,754,28.094583204089762,26.909482508369344,25.731619736255862,28.088949761068452,26.819009659681768,25.73037149082345,8023.618968318464,0.0,0.0,4235.851616159866,3787.7673521585975,-1.269940101386684,2378.9372821313204,5644.681686187143,-2.358578270245001
GIN,2100,755,28.477249001471755,26.835030594241605,25.65195746452201,28.49041882026837,26.927636266990422,25.67203069531079,9538.860648266145,0.0,0.0,4464.555511897279,5074.305136368866,-1.5627825532779482,2326.220102831605,7212.64054543454,-2.818388124957579
GLP,2020,756,26.201486668442257,26.158164191968535,26.14824389833395,26.163522838247886,26.18791635004321,26.22283569617912,842.8966489437206,0.0,0.0,786.3811247563308,56.515524187389815,0.02439351179532423,762.063433797282,80.83321514643865,0.05931285793123564
GLP,2030,757,26.29664764404299,26.40973815917971,26.416186692979622,26.41011569765872,26.34725309265156,26.325344784935517,1568.077861557596,0.0,0.0,1350.296984775312,217.78087678228394,-0.06286260500716168,1230.5399546264935,337.5379069311025,-0.08477091272320436
GLP,2040,758,26.71195466012668,26.51759606563686,26.489659765994933,26.65159050939988,26.507306782479024,26.422905683107988,2407.5081903645205,0.0,0.0,1926.7321054271188,480.7760849374017,-0.14428372692085745,1636.1994542882417,771.3087360762788,-0.22868482629189302
GLP,2050,759,26.89261214644823,26.61436332420069,26.456470743815128,26.876855753065627,26.668754442530005,26.486144877546657,3337.039282302806,0.0,0.0,2490.9085976750175,846.1306846277885,-0.2081013105356213,1966.493090080031,1370.546192222775,-0.39071087551896966
GLP,2060,760,27.07377545905838,26.866144492409468,26.537917304761503,27.09462598235122,26.82338793562102,26.504407678793278,4349.314497009131,0.0,0.0,3022.351289627446,1326.9632073816847,-0.27123804673020047,2196.103053490544,2153.2114435185867,-0.5902183035579434
GLP,2070,761,27.18900479917175,26.982237752278667,26.549423613371694,27.3431090644367,26.979010859571595,26.499606230469556,5449.852347440911,0.0,0.0,3506.472122330704,1943.380225110207,-0.3640982048651047,2327.987341173351,3121.86500626756,-0.8435028339671433
GLP,2080,762,27.59884403113165,27.125767008463566,26.432663796164796,27.61095239145905,27.104889946230845,26.477293476613905,6664.386104413549,0.0,0.0,3920.145361753433,2744.240742660116,-0.5060624452282063,2383.706679066941,4280.679425346609,-1.133658914845146
GLP,2090,763,27.974231126573372,27.2391708939164,26.476144974320047,27.891704223255054,27.19811517377103,26.43014601394278,8023.618968318464,0.0,0.0,4235.851616159866,3787.7673521585975,-0.6935890494840251,2378.9372821313204,5644.681686187143,-1.4615582093122725
GLP,2100,764,28.137141587999153,27.255230628119598,26.366093783908443,28.174057422455064,27.289197821503457,26.384473346829658,9538.860648266145,0.0,0.0,4464.555511897279,5074.305136368866,-0.8848596009516072,2326.220102831605,7212.64054543454,-1.789584075625406
GMB,2020,765,28.54424207282791,28.651112319483925,28.643091513893843,28.558590080011562,28.609243296372178,28.641158863356033,842.8966489437206,0.0,0.0,786.3811247563308,56.515524187389815,0.05065321636061526,762.063433797282,80.83321514643865,0.08256878334447038
GMB,2030,766,28.970935510706042,28.706484872323518,28.787503390842037,28.9784155360276,28.84281743792738,28.7787056834708,1568.077861557596,0.0,0.0,1350.296984775312,217.78087678228394,-0.13559809810022116,1230.5399546264935,337.5379069311025,-0.19970985255680063
GMB,2040,767,29.443826756332882,29.116380078864843,28.89965533632223,29.39046811015364,29.073234727633356,28.9124863135736,2407.5081903645205,0.0,0.0,1926.7321054271188,480.7760849374017,-0.31723338252028555,1636.1994542882417,771.3087360762788,-0.4779817965800426
GMB,2050,768,29.86803306297022,29.27504769784435,29.08875935872398,29.794285182236983,29.316715108340667,29.00569041109912,3337.039282302806,0.0,0.0,2490.9085976750175,846.1306846277885,-0.47757007389631667,1966.493090080031,1370.546192222775,-0.7885947711378627
GMB,2060,769,30.145904217344366,29.774141623757124,29.060850802334894,30.188324950669898,29.536033459150936,29.07728591258543,4349.314497009131,0.0,0.0,3022.351289627446,1326.9632073816847,-0.6522914915189624,2196.103053490544,2153.2114435185867,-1.111039038084467
GMB,2070,770,30.489653241192876,29.8349556816949,29.124183767813246,30.59698830083358,29.737956141343375,29.079852977894443,5449.852347440911,0.0,0.0,3506.472122330704,1943.380225110207,-0.8590321594902051,2327.987341173351,3121.86500626756,-1.5171353229391364
GMB,2080,771,31.09454613887905,29.92270651152642,29.185168087121234,31.017024496163252,29.91751417638387,29.01299730282191,6664.386104413549,0.0,0.0,3920.145361753433,2744.240742660116,-1.0995103197793803,2383.706679066941,4280.679425346609,-2.0040271933413436
GMB,2090,772,31.48875664605037,29.986519538031708,28.93642465096935,31.434494775842843,30.006362915718164,28.897328944394076,8023.618968318464,0.0,0.0,4235.851616159866,3787.7673521585975,-1.4281318601246795,2378.9372821313204,5644.681686187143,-2.5371658314487675
GMB,2100,773,31.789521789550804,30.10726784600154,28.72407472398548,31.846914393268175,30.096629046663555,28.77378178398869,9538.860648266145,0.0,0.0,4464.555511897279,5074.305136368866,-1.7502853466046204,2326.220102831605,7212.64054543454,-3.0731326092794866
GNB,2020,774,27.869622109153077,28.03332741477275,28.231769353693206,27.93956637360341,27.993068845106226,28.07101281431187,842.8966489437206,0.0,0.0,786.3811247563308,56.515524187389815,0.05350247150281717,762.063433797282,80.83321514643865,0.13144644070846212
GNB,2030,775,28.41032957854097,28.080053089283155,28.14497330277057,28.41443764896772,28.306155010906807,28.203974613691503,1568.077861557596,0.0,0.0,1350.296984775312,217.78087678228394,-0.10828263806091343,1230.5399546264935,337.5379069311025,-0.21046303527621646
GNB,2040,776,28.889285833185397,28.641964444247183,28.393521303119105,28.884977901217685,28.619978445014105,28.330029890938782,2407.5081903645205,0.0,0.0,1926.7321054271188,480.7760849374017,-0.26499945620357934,1636.1994542882417,771.3087360762788,-0.5549480102789026
GNB,2050,777,29.49420855486837,28.949551730685787,28.440294166847533,29.352648834280796,28.919459646081144,28.425365473024268,3337.039282302806,0.0,0.0,2490.9085976750175,846.1306846277885,-0.4331891881996519,1966.493090080031,1370.546192222775,-0.9272833612565279
