tax,generator_subsidy,battery_subsidy,step,n_counterfactuals,welfare,welfare_USA,welfare_CHN,welfare_EU,welfare_IND,p_breakdown,value_at_risk,uniform,contiguous,delay,seed
0.0,0.5,0.0,200000,13,2.853604456101441,0.7291376037101985,0.9733401613166993,0.8740661933050836,0.27706049776945957,0.15,2.5,True,False,4,0
0.0,0.8,0.0,200000,13,2.82992055497949,0.7293012164062667,0.9673167136105687,0.8507261378351002,0.2825764871275545,0.3,0.0,True,False,4,0
1.0,0.0,0.0,200000,13,2.733258355830162,0.6994237207541489,0.9329335726166764,0.8315429204433521,0.2693581420159848,0.15,2.5,True,False,4,0
0.0,0.8,0.0,200000,64,2.7078537409251924,0.6911154167349634,0.919900120778312,0.8335693023466841,0.26326890106523315,0.05,2.5,True,True,4,0
0.0,0.8,0.0,172000,64,2.5133423174915155,0.6373542435901232,0.8560693357505517,0.7528456612186636,0.26707307693217675,0.15,0.0,True,True,4,0
1.0,0.0,0.0,200000,64,2.4186951221403565,0.6251515865680182,0.8201437521537539,0.727710893747424,0.24568888967116032,0.15,0.0,True,True,4,0
0.0,0.5,0.0,200000,13,2.106229129136089,0.5479352915399764,0.714704428453395,0.6368377658425772,0.20675164330014015,0.3,0.0,True,False,4,0
0.0,0.5,0.0,172000,64,2.0357396663118603,0.5164858508870338,0.693147357282879,0.609635693875047,0.21647076426690048,0.15,0.0,True,True,4,0
0.0,0.5,0.0,172000,64,1.9515593787313132,0.4931653176568876,0.6674676515721782,0.5888322990266892,0.20209411047555823,0.05,2.5,True,True,4,0
0.0,0.8,0.0,200000,13,1.9317894994663396,0.500566819614028,0.6560765911464179,0.5895545603112718,0.18559152839462195,0.3,2.5,True,False,4,0
0.0,0.8,0.0,200000,64,1.8964509639653857,0.4934152021146241,0.6397156385387427,0.5651527810105703,0.19816734230144845,0.3,0.0,True,True,4,0
0.0,0.5,0.0,172000,64,1.597778875025723,0.40967885041572744,0.5398003496910779,0.47008929982793607,0.17821037509098162,0.3,0.0,True,True,4,0
